id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
0,0.9,false,1111,0.4444,22.22,22.22,0,0
1,0.9,false,1057,0.4228,21.14,21.14,1,0
2,0.9,false,1089,0.4356,21.78,21.78,0,0
3,0.9,false,1150,0.46,23.0,23.0,1,0
4,0.9,false,1088,0.4352,21.76,21.76,0,0
5,0.9,false,1149,0.4596,22.98,22.98,0,0
6,0.9,false,1136,0.4544,22.72,22.72,1,0
7,0.9,false,1085,0.434,21.7,21.7,2,0
8,0.9,false,1120,0.448,22.4,22.4,2,0
9,0.9,false,1117,0.4468,22.34,22.34,1,0
10,0.9,false,1096,0.4384,21.92,21.92,1,0
11,0.9,false,1159,0.4636,23.18,23.18,1,0
12,0.9,false,1140,0.456,22.8,22.8,1,0
13,0.9,false,1140,0.456,22.8,22.8,0,0
14,0.9,false,1142,0.4568,22.84,22.84,0,0
15,0.9,false,1110,0.444,22.2,22.2,2,0
16,0.9,false,1049,0.4196,20.98,20.98,1,0
17,0.9,false,1121,0.4484,22.42,22.42,0,0
18,0.9,false,1113,0.4452,22.26,22.26,1,0
19,0.9,false,1104,0.4416,22.08,22.08,2,0
20,0.9,false,1153,0.4612,23.06,23.06,2,0
21,0.9,false,1091,0.4364,21.82,21.82,1,0
22,0.9,false,1140,0.456,22.8,22.8,1,0
23,0.9,false,1152,0.4608,23.04,23.04,0,0
24,0.9,false,1088,0.4352,21.76,21.76,0,0
25,0.9,false,1156,0.4624,23.12,23.12,1,0
26,0.9,false,1126,0.4504,22.52,22.52,1,0
27,0.9,false,1116,0.4464,22.32,22.32,0,0
28,0.9,false,1115,0.446,22.3,22.3,0,0
29,0.9,false,1107,0.4428,22.14,22.14,1,0
30,0.9,false,1118,0.4472,22.36,22.36,0,0
31,0.9,false,1094,0.4376,21.88,21.88,0,0
32,0.9,false,1112,0.4448,22.24,22.24,1,0
33,0.9,false,1104,0.4416,22.08,22.08,1,0
34,0.9,false,1119,0.4476,22.38,22.38,1,0
35,0.9,false,1119,0.4476,22.38,22.38,1,0
36,0.9,false,1130,0.452,22.6,22.6,1,0
37,0.9,false,1088,0.4352,21.76,21.76,2,0
38,0.9,false,1133,0.4532,22.66,22.66,0,0
39,0.9,false,1168,0.4672,23.36,23.36,1,0
40,0.9,false,1098,0.4392,21.96,21.96,1,0
41,0.9,false,1179,0.4716,23.58,23.58,3,0
42,0.9,false,1094,0.4376,21.88,21.88,1,0
43,0.9,false,1098,0.4392,21.96,21.96,0,0
44,0.9,false,1126,0.4504,22.52,22.52,0,0
45,0.9,false,1126,0.4504,22.52,22.52,0,0
46,0.9,false,1132,0.4528,22.64,22.64,1,0
47,0.9,false,1121,0.4484,22.42,22.42,1,0
48,0.9,false,1100,0.44,22.0,22.0,0,0
49,0.9,false,1098,0.4392,21.96,21.96,1,0
50,0.9,false,1081,0.4324,21.62,21.62,1,0
51,0.9,false,1150,0.46,23.0,23.0,2,0
52,0.9,false,1122,0.4488,22.44,22.44,0,0
53,0.9,false,1103,0.4412,22.06,22.06,2,0
54,0.9,false,1087,0.4348,21.74,21.74,1,0
55,0.9,false,1139,0.4556,22.78,22.78,2,0
56,0.9,false,1113,0.4452,22.26,22.26,1,0
57,0.9,false,1168,0.4672,23.36,23.36,1,0
58,0.9,false,1100,0.44,22.0,22.0,0,0
59,0.9,false,1102,0.4408,22.04,22.04,1,0
60,0.9,false,1123,0.4492,22.46,22.46,1,0
61,0.9,false,1118,0.4472,22.36,22.36,1,0
62,0.9,false,1147,0.4588,22.94,22.94,2,0
63,0.9,false,1090,0.436,21.8,21.8,2,0
