id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
0,0.05,false,109,0.0436,2.18,2.18,7,5
1,0.05,false,121,0.0484,2.42,2.42,6,4
2,0.05,false,116,0.0464,2.32,2.32,5,6
3,0.05,false,120,0.048,2.4,2.4,4,3
4,0.05,false,140,0.056,2.8,2.8,2,4
5,0.1,false,228,0.0912,4.56,4.56,0,1
6,0.1,false,268,0.1072,5.36,5.36,0,0
7,0.1,false,230,0.092,4.6,4.6,1,1
8,0.1,false,258,0.1032,5.16,5.16,1,0
9,0.1,false,265,0.106,5.3,5.3,0,0
10,0.15000000000000002,false,366,0.1464,7.32,7.32,0,0
11,0.15000000000000002,false,401,0.1604,8.02,8.02,0,0
12,0.15000000000000002,false,370,0.148,7.4,7.4,0,0
13,0.15000000000000002,false,363,0.1452,7.26,7.26,0,0
14,0.15000000000000002,false,393,0.1572,7.86,7.86,0,0
15,0.2,false,471,0.1884,9.42,9.42,0,0
16,0.2,false,486,0.1944,9.72,9.72,0,0
17,0.2,false,516,0.2064,10.32,10.32,0,0
18,0.2,false,489,0.1956,9.78,9.78,0,0
19,0.2,false,510,0.204,10.2,10.2,0,0
20,0.25,false,618,0.2472,12.36,12.36,0,0
21,0.25,false,628,0.2512,12.56,12.56,0,0
22,0.25,false,624,0.2496,12.48,12.48,0,0
23,0.25,false,645,0.258,12.9,12.9,0,0
24,0.25,false,664,0.2656,13.28,13.28,0,0
25,0.3,false,748,0.2992,14.96,14.96,0,0
26,0.3,false,757,0.3028,15.14,15.14,0,0
27,0.3,false,763,0.3052,15.26,15.26,0,0
28,0.3,false,723,0.2892,14.46,14.46,0,0
29,0.3,false,765,0.306,15.3,15.3,0,0
30,0.35,false,892,0.3568,17.84,17.84,0,0
31,0.35,false,885,0.354,17.7,17.7,0,0
32,0.35,false,879,0.3516,17.58,17.58,0,0
33,0.35,false,891,0.3564,17.82,17.82,0,0
34,0.35,false,853,0.3412,17.06,17.06,0,0
35,0.39999999999999997,false,981,0.3924,19.62,19.62,0,0
36,0.39999999999999997,false,1008,0.4032,20.16,20.16,0,0
37,0.39999999999999997,false,988,0.3952,19.76,19.76,0,0
38,0.39999999999999997,false,1028,0.4112,20.56,20.56,0,0
39,0.39999999999999997,false,941,0.3764,18.82,18.82,0,0
40,0.44999999999999996,false,1171,0.4684,23.42,23.42,0,0
41,0.44999999999999996,false,1148,0.4592,22.96,22.96,0,0
42,0.44999999999999996,false,1178,0.4712,23.56,23.56,0,0
43,0.44999999999999996,false,1110,0.444,22.2,22.2,0,0
44,0.44999999999999996,false,1137,0.4548,22.74,22.74,0,0
45,0.49999999999999994,false,1290,0.516,25.8,25.8,0,0
46,0.49999999999999994,false,1256,0.5024,25.12,25.12,0,0
47,0.49999999999999994,false,1215,0.486,24.3,24.3,0,0
48,0.49999999999999994,false,1219,0.4876,24.38,24.38,0,0
49,0.49999999999999994,false,1246,0.4984,24.92,24.92,0,0
50,0.5499999999999999,false,1348,0.5392,26.96,26.96,0,0
51,0.5499999999999999,false,1363,0.5452,27.26,27.26,0,0
52,0.5499999999999999,false,1377,0.5508,27.54,27.54,0,0
53,0.5499999999999999,false,1338,0.5352,26.76,26.76,0,0
54,0.5499999999999999,false,1389,0.5556,27.78,27.78,0,0
55,0.6,true,1489,0.5956,29.78,29.78,0,0
56,0.6,true,1512,0.6048,30.24,30.24,0,0
57,0.6,false,1443,0.5772,28.86,28.86,0,0
58,0.6,true,1511,0.6044,30.22,30.22,0,0
59,0.6,true,1520,0.608,30.4,30.4,0,0
60,0.65,true,1612,0.6448,32.24,32.24,0,0
61,0.65,true,1627,0.6508,32.54,32.54,0,0
62,0.65,true,1673,0.6692,33.46,33.46,0,0
63,0.65,true,1579,0.6316,31.58,31.58,0,0
64,0.65,true,1607,0.6428,32.14,32.14,0,0
65,0.7000000000000001,true,1714,0.6856,34.28,34.28,0,0
66,0.7000000000000001,true,1684,0.6736,33.68,33.68,0,0
67,0.7000000000000001,true,1728,0.6912,34.56,34.56,0,0
68,0.7000000000000001,true,1752,0.7008,35.04,35.04,0,0
69,0.7000000000000001,true,1740,0.696,34.8,34.8,0,0
70,0.7500000000000001,true,1856,0.7424,37.12,37.12,0,0
71,0.7500000000000001,true,1907,0.7628,38.14,38.14,0,0
72,0.7500000000000001,true,1831,0.7324,36.62,36.62,0,0
73,0.7500000000000001,true,1880,0.752,37.6,37.6,0,0
74,0.7500000000000001,true,1867,0.7468,37.34,37.34,0,0
75,0.8000000000000002,true,2025,0.81,40.5,40.5,0,0
76,0.8000000000000002,true,2006,0.8024,40.12,40.12,0,0
77,0.8000000000000002,true,2001,0.8004,40.02,40.02,0,0
78,0.8000000000000002,true,2005,0.802,40.1,40.1,0,0
79,0.8000000000000002,true,2017,0.8068,40.34,40.34,0,0
80,0.8500000000000002,true,2098,0.8392,41.96,41.96,0,0
81,0.8500000000000002,true,2135,0.854,42.7,42.7,0,0
82,0.8500000000000002,true,2112,0.8448,42.24,42.24,0,0
83,0.8500000000000002,true,2136,0.8544,42.72,42.72,0,0
84,0.8500000000000002,true,2076,0.8304,41.52,41.52,0,0
85,0.9000000000000002,true,2246,0.8984,44.92,44.92,0,0
86,0.9000000000000002,true,2257,0.9028,45.14,45.14,0,0
87,0.9000000000000002,true,2257,0.9028,45.14,45.14,0,0
88,0.9000000000000002,true,2237,0.8948,44.74,44.74,0,0
89,0.9000000000000002,true,2273,0.9092,45.46,45.46,0,0
