id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
0,0.2,false,508,0.2032,10.16,10.16,0,0
1,0.2,false,467,0.1868,9.34,9.34,0,0
2,0.2,false,507,0.2028,10.14,10.14,0,0
3,0.2,false,488,0.1952,9.76,9.76,0,0
4,0.2,false,511,0.2044,10.22,10.22,0,0
5,0.2,false,488,0.1952,9.76,9.76,0,0
6,0.2,false,522,0.2088,10.44,10.44,0,0
7,0.2,false,496,0.1984,9.92,9.92,0,0
8,0.2,false,509,0.2036,10.18,10.18,0,0
9,0.2,false,492,0.1968,9.84,9.84,0,0
10,0.2,false,522,0.2088,10.44,10.44,0,0
11,0.2,false,529,0.2116,10.58,10.58,0,0
12,0.2,false,489,0.1956,9.78,9.78,0,0
13,0.2,false,491,0.1964,9.82,9.82,0,0
14,0.2,false,510,0.204,10.2,10.2,0,0
15,0.2,false,475,0.19,9.5,9.5,0,0
16,0.2,false,502,0.2008,10.04,10.04,0,0
17,0.2,false,536,0.2144,10.72,10.72,0,0
18,0.2,false,484,0.1936,9.68,9.68,0,0
19,0.2,false,485,0.194,9.7,9.7,0,0
20,0.2,false,476,0.1904,9.52,9.52,0,0
21,0.2,false,495,0.198,9.9,9.9,0,0
22,0.2,false,499,0.1996,9.98,9.98,0,0
23,0.2,false,523,0.2092,10.46,10.46,0,0
24,0.2,false,498,0.1992,9.96,9.96,0,0
25,0.2,false,495,0.198,9.9,9.9,0,0
26,0.2,false,496,0.1984,9.92,9.92,0,0
27,0.2,false,514,0.2056,10.28,10.28,0,0
28,0.2,false,501,0.2004,10.02,10.02,0,0
29,0.2,false,464,0.1856,9.28,9.28,0,0
30,0.2,false,496,0.1984,9.92,9.92,0,0
31,0.2,false,513,0.2052,10.26,10.26,0,0
32,0.2,false,494,0.1976,9.88,9.88,0,0
33,0.2,false,500,0.2,10.0,10.0,0,0
34,0.2,false,522,0.2088,10.44,10.44,0,0
35,0.2,false,495,0.198,9.9,9.9,0,0
36,0.2,false,509,0.2036,10.18,10.18,0,0
37,0.2,false,504,0.2016,10.08,10.08,0,0
38,0.2,false,507,0.2028,10.14,10.14,0,0
39,0.2,false,528,0.2112,10.56,10.56,0,0
40,0.2,false,503,0.2012,10.06,10.06,0,0
41,0.2,false,465,0.186,9.3,9.3,0,0
42,0.2,false,472,0.1888,9.44,9.44,0,0
43,0.2,false,494,0.1976,9.88,9.88,0,0
44,0.2,false,509,0.2036,10.18,10.18,0,0
45,0.2,false,524,0.2096,10.48,10.48,0,0
46,0.2,false,516,0.2064,10.32,10.32,0,0
47,0.2,false,475,0.19,9.5,9.5,0,0
48,0.2,false,481,0.1924,9.62,9.62,0,0
49,0.2,false,512,0.2048,10.24,10.24,0,0
50,0.2,false,474,0.1896,9.48,9.48,0,0
51,0.2,false,475,0.19,9.5,9.5,0,0
52,0.2,false,552,0.2208,11.04,11.04,0,0
53,0.2,false,476,0.1904,9.52,9.52,0,0
54,0.2,false,541,0.2164,10.82,10.82,0,0
55,0.2,false,499,0.1996,9.98,9.98,0,0
56,0.2,false,474,0.1896,9.48,9.48,0,0
57,0.2,false,489,0.1956,9.78,9.78,0,0
58,0.2,false,495,0.198,9.9,9.9,0,0
59,0.2,false,477,0.1908,9.54,9.54,0,0
60,0.2,false,471,0.1884,9.42,9.42,0,0
61,0.2,false,503,0.2012,10.06,10.06,0,0
62,0.2,false,501,0.2004,10.02,10.02,0,0
63,0.2,false,503,0.2012,10.06,10.06,0,0
64,0.2,false,540,0.216,10.8,10.8,0,0
65,0.2,false,500,0.2,10.0,10.0,0,0
66,0.2,false,514,0.2056,10.28,10.28,0,0
67,0.2,false,497,0.1988,9.94,9.94,0,0
68,0.2,false,510,0.204,10.2,10.2,0,0
69,0.2,false,504,0.2016,10.08,10.08,0,0
70,0.2,false,508,0.2032,10.16,10.16,0,0
71,0.2,false,516,0.2064,10.32,10.32,0,0
72,0.2,false,463,0.1852,9.26,9.26,0,0
73,0.2,false,485,0.194,9.7,9.7,0,0
74,0.2,false,522,0.2088,10.44,10.44,0,0
75,0.2,false,489,0.1956,9.78,9.78,0,0
76,0.2,false,572,0.2288,11.44,11.44,0,0
77,0.2,false,520,0.208,10.4,10.4,0,0
78,0.2,false,529,0.2116,10.58,10.58,0,0
79,0.2,false,488,0.1952,9.76,9.76,0,0
80,0.2,false,514,0.2056,10.28,10.28,0,0
81,0.2,false,494,0.1976,9.88,9.88,0,0
82,0.2,false,503,0.2012,10.06,10.06,0,0
83,0.2,false,505,0.202,10.1,10.1,0,0
84,0.2,false,490,0.196,9.8,9.8,0,0
85,0.2,false,499,0.1996,9.98,9.98,0,0
86,0.2,false,538,0.2152,10.76,10.76,0,0
87,0.2,false,533,0.2132,10.66,10.66,0,0
88,0.2,false,470,0.188,9.4,9.4,0,0
89,0.2,false,471,0.1884,9.42,9.42,0,0
90,0.2,false,509,0.2036,10.18,10.18,0,0
91,0.2,false,498,0.1992,9.96,9.96,0,0
92,0.2,false,489,0.1956,9.78,9.78,0,0
93,0.2,false,504,0.2016,10.08,10.08,0,0
94,0.2,false,474,0.1896,9.48,9.48,0,0
95,0.2,false,484,0.1936,9.68,9.68,0,0
96,0.2,false,530,0.212,10.6,10.6,0,0
97,0.2,false,537,0.2148,10.74,10.74,0,0
98,0.2,false,498,0.1992,9.96,9.96,0,0
99,0.2,false,518,0.2072,10.36,10.36,0,0
